policy,endingId,count,rate
principle-greedy:preserve-strength,E11,0,0
principle-greedy:preserve-strength,E12,281,0.3936
principle-greedy:preserve-strength,E13,0,0
principle-greedy:triage-first,E01,1,0.0014
principle-greedy:triage-first,E02,0,0
principle-greedy:triage-first,E03,0,0
principle-greedy:triage-first,E04,0,0
principle-greedy:triage-first,E05,2,0.0028
principle-greedy:triage-first,E06,8,0.0112
principle-greedy:triage-first,E07,0,0
principle-greedy:triage-first,E08,0,0
principle-greedy:triage-first,E09,410,0.5742
principle-greedy:triage-first,E10,35,0.049
principle-greedy:triage-first,E11,1,0.0014
principle-greedy:triage-first,E12,257,0.3599
principle-greedy:triage-first,E13,0,0
production-greedy,E01,2,0.0028
production-greedy,E02,0,0
production-greedy,E03,0,0
production-greedy,E04,0,0
production-greedy,E05,0,0
production-greedy,E06,1,0.0014
production-greedy,E07,0,0
production-greedy,E08,0,0
production-greedy,E09,426,0.5958
production-greedy,E10,10,0.014
production-greedy,E11,6,0.0084
production-greedy,E12,270,0.3776
production-greedy,E13,0,0
random,E01,0,0
random,E02,0,0
random,E03,0,0
random,E04,0,0
random,E05,0,0
random,E06,0,0
random,E07,0,0
random,E08,0,0
random,E09,615,0.8601
random,E10,7,0.0098
random,E11,1,0.0014
random,E12,92,0.1287
random,E13,0,0
strong-heuristic,E01,0,0
strong-heuristic,E02,0,0
strong-heuristic,E03,0,0
strong-heuristic,E04,0,0
strong-heuristic,E05,1,0.0014
strong-heuristic,E06,16,0.0224
strong-heuristic,E07,0,0
strong-heuristic,E08,0,0
strong-heuristic,E09,402,0.563
strong-heuristic,E10,32,0.0448
strong-heuristic,E11,1,0.0014
strong-heuristic,E12,262,0.3669
strong-heuristic,E13,0,0
survival-greedy,E01,0,0
survival-greedy,E02,0,0
survival-greedy,E03,0,0
survival-greedy,E04,0,0
survival-greedy,E05,94,0.1315
survival-greedy,E06,1,0.0014
survival-greedy,E07,0,0
survival-greedy,E08,17,0.0238
survival-greedy,E09,448,0.6266
survival-greedy,E10,95,0.1329
survival-greedy,E11,40,0.0559
survival-greedy,E12,20,0.028
survival-greedy,E13,0,0
