policy,day,averageFood,medianFood,foodP10,foodP25,foodP75,foodP90,averagePopulation,medianPopulation,populationP10,populationP90,averageResidentPopulation,residentMedian,residentP10,residentP90,averageHealthySurvivors,injuryRate,missingRate,deathRate,averageProduction,productionMedian,averageConsumption,consumptionMedian,averageCommunityLabor,communityLaborMedian,averageExplorationProgress,failureProbability,averageDailyNetFood,averageDailyNetResources
random,4,3.0601,2,0,0,5,8,3.1189,3,3,4,0.1189,0,0,1,1.3413,1.6587,0,0,2.6229,0,2.7692,3,0,0,0.1469,0,-2.1692,-2.9315
random,5,1.4126,0,0,0,2,5,3.2238,3,3,4,0.2238,0,0,1,1.0559,1.9441,0,0,2.699,0,1.9357,2,0,0,0.1738,0,-1.6476,-1.8878
random,6,0.4643,0,0,0,0,1,4.2238,4,4,5,0.2881,0,0,1,1.7413,2.1944,0.0112,0.0531,3.7888,0,1.6308,1,0.0006,0,0.2035,0,-0.9483,-0.9238
random,7,0.2476,0,0,0,0,0,4.1329,4,3,5,0.3469,0,0,1,1.4839,2.3021,0.0392,0.1748,3.7648,0,1.1021,0,0.0034,0,0.2317,0,-0.2168,0.1092
random,8,0.1315,0,0,0,0,0,3.972,4,3,5,0.365,0,0,1,1.2769,2.3301,0.1231,0.2699,3.2534,0,0.8587,0,0.0034,0,0.2576,0.0014,-0.1161,-0.1036
random,9,0.0867,0,0,0,0,0,3.7231,4,2,5,0.3832,0,0,1,1.0462,2.2937,0.2727,0.3874,2.7502,0,0.6769,0,0.0043,0,0.2821,0.014,-0.0448,-0.3218
random,10,0.1329,0,0,0,0,0,3.1594,3,1,4,0.1944,0,0,1,0.8923,2.0727,0.5315,0.5035,3.3041,0,0.7007,0,0.0046,0,0.3025,0.0434,0.0462,-0.2598
random,11,0.1483,0,0,0,0,0,2.7175,3,1,4,0.1916,0,0,1,0.6629,1.8629,0.8517,0.6224,3.3001,0,0.5538,0,0.0043,0,0.325,0.0881,0.0154,0.5672
random,12,0.1497,0,0,0,0,0,3.2839,3,1,5,0.2028,0,0,1,1.0699,2.0112,1.1846,0.7343,3.4842,0,0.5846,0,0.0047,0,0.3476,0.007,0.0014,0.652
random,13,0.1259,0,0,0,0,0,2.7175,3,1,5,0.2056,0,0,1,0.6867,1.8252,1.6112,0.8769,3.2923,0,0.4951,0,0.0053,0,0.3692,0.1105,-0.0238,0.7112
random,14,0.1524,0,0,0,0,0,2.1469,2,0,5,0.1944,0,0,1,0.4909,1.4615,2.014,1.0336,2.599,0,0.3357,0,0.0086,0,0.3892,0.2392,0.0266,0.2827
random,15,0.1552,0,0,0,0,0,1.6993,1,0,4,0.1846,0,0,1,0.351,1.1636,2.3566,1.1287,2.5044,0,0.3259,0,0.0081,0,0.4039,0.3552,0.0028,0.2453
random,16,0.1021,0,0,0,0,0,1.2979,1,0,4,0.1706,0,0,1,0.2322,0.8951,2.6601,1.2126,1.8619,0,0.2168,0,0.0065,0,0.4173,0.4741,-0.0531,-0.1747
random,17,0.0923,0,0,0,0,0,0.9636,0,0,3,0.1538,0,0,1,0.1664,0.6434,2.8951,1.2951,1.4578,0,0.158,0,0.0071,0,0.4271,0.5958,-0.0098,-0.2191
random,18,0.1692,0,0,0,0,0,1.6839,1,1,3,0.1552,0,0,1,0.7552,0.7734,3.1343,1.3371,3.5171,0,0.2713,0,0.0063,0,0.4526,0.0559,0.0769,1.7077
random,19,0.2182,0,0,0,0,0,1.1161,1,0,3,0.1538,0,0,1,0.3357,0.6266,3.635,1.4028,3.1937,0,0.2182,0,0.0067,0,0.4731,0.4238,0.049,1.2063
random,20,0.2769,0,0,0,0,0,0.6853,0,0,2,0.0629,0,0,0,0.186,0.4364,3.8965,1.4811,1.6889,0,0.1427,0,0.0064,0,0.4822,0.6364,0.0587,-0.212
random,21,0.2238,0,0,0,0,0,0.4951,0,0,2,0.0629,0,0,0,0.1119,0.3203,4.0378,1.5301,0.8472,0,0.1217,0,0.0044,0,0.4877,0.7608,-0.0531,-0.6223
random,22,0.2126,0,0,0,0,0,0.3776,0,0,1,0.0573,0,0,0,0.0755,0.2448,4.1259,1.5538,0.6863,0,0.0755,0,0.0039,0,0.492,0.828,-0.0112,-0.4081
random,23,0.172,0,0,0,0,0,0.2811,0,0,1,0.0517,0,0,0,0.0573,0.172,4.1874,1.5832,0.3444,0,0.0531,0,0.0012,0,0.4938,0.8643,-0.0406,-0.6423
random,24,0.1357,0,0,0,0,0,0.2098,0,0,1,0.0434,0,0,0,0.0392,0.1273,4.242,1.5916,0.4742,0,0.0476,0,0.0012,0,0.4957,0.8937,-0.0364,-0.4063
random,25,0.1105,0,0,0,0,0,0.1399,0,0,0,0.035,0,0,0,0.028,0.0769,4.2853,1.6098,0.275,0,0.0322,0,0.0012,0,0.4979,0.9301,-0.0252,-0.5777
random,26,0.0965,0,0,0,0,0,0.1203,0,0,0,0.0336,0,0,0,0.021,0.0657,4.3035,1.6098,0.2073,0,0.0168,0,0.0012,0,0.4989,0.9399,-0.014,-0.454
random,27,0.0923,0,0,0,0,0,0.0881,0,0,0,0.0308,0,0,0,0.0126,0.0448,4.3287,1.614,0.27,0,0.021,0,0.0017,0,0.4996,0.9594,-0.0042,-0.4502
random,28,0.0853,0,0,0,0,0,0.0643,0,0,0,0.0238,0,0,0,0.0126,0.028,4.3371,1.6224,0.159,0,0.007,0,0.0012,0,0.5006,0.9734,-0.007,-0.4611
random,29,0.0769,0,0,0,0,0,0.0434,0,0,0,0.0042,0,0,0,0.021,0.0182,4.3385,1.6224,0.0459,0,0.0056,0,0.0009,0,0.5008,0.9734,-0.0084,-2.2749
random,30,0.0769,0,0,0,0,0,0.0434,0,0,0,0.0042,0,0,0,0.021,0.0182,4.3385,1.6224,0,0,0,0,0,0,0.5008,0.9734,0,0
strong-heuristic,1,9.986,9,9,9,9,14,3,3,3,3,0,0,0,0,2.7633,0.2367,0,0,0,0,3,3,0,0,0.0291,0,-2.014,-11.609
strong-heuristic,2,6.8585,6,5,5,8,10,3,3,3,3,0,0,0,0,2.1289,0.8711,0,0,2.3255,0,3,3,0,0,0.0915,0,-3.1275,-7.4834
strong-heuristic,3,4.8067,4,2,3,6.75,9,3.0042,3,3,3,0.0042,0,0,0,1.7269,1.2731,0,0,5,3.2,3.0042,3,0,0,0.1529,0,-2.0518,-1.9262
strong-heuristic,4,3.5266,3,0,1,5,7,3.2479,3,3,4,0.2479,0,0,1,1.5014,1.4986,0,0,3.9742,3.2,3.1751,3,0,0,0.2249,0,-1.2801,-2.4705
strong-heuristic,5,2.1401,1,0,0,4,6,3.5728,4,3,4,0.5728,1,0,1,1.091,1.909,0,0,3.8202,2.2,2.8627,3,0.0003,0,0.278,0,-1.3866,-1.5962
strong-heuristic,6,0.4048,0,0,0,0,1.7,4.5042,5,4,5,0.5504,1,0,1,1.6667,2.2871,0.028,0.0182,7.3599,0,1.6723,1,0.0014,0,0.3574,0,-1.7353,3.7113
strong-heuristic,7,0.4104,0,0,0,0,2,4.486,5,4,5,0.6106,1,0,1,1.4426,2.4328,0.0476,0.077,4.2126,0,1.6527,0,0.0014,0,0.3866,0,0.0056,-0.4562
strong-heuristic,8,0.0448,0,0,0,0,0,4.3235,4,3,5,0.5784,1,0,1,1.1583,2.5868,0.0896,0.1653,2.7591,0,0.916,0,0.0028,0,0.4653,0.0028,-0.3655,-0.8808
strong-heuristic,9,0.1541,0,0,0,0,0,4.1162,4,2.3,5,0.5784,1,0,1,1.0434,2.4944,0.1723,0.2899,3.3342,0,1.1078,0,0.0025,0,0.4884,0.0266,0.1092,-1.7768
strong-heuristic,10,0.1583,0,0,0,0,0,3.5574,4,1,5,0.3067,0,0,1,1.1317,2.119,0.3025,0.4468,3.8574,0,1.2283,0,0.0031,0,0.4951,0.0672,0.0042,-1.5875
strong-heuristic,11,0.0728,0,0,0,0,0,3.2227,4,1,5,0.3011,0,0,1,1.0182,1.9034,0.4776,0.6008,6.3664,0,0.6611,0,0.0028,0,0.5231,0.112,-0.0854,3.6493
strong-heuristic,12,0.1176,0,0,0,0,0,3.9314,4,1,6,0.2983,0,0,1,1.1359,2.4972,0.6569,0.7101,4.8754,3.2,1.3109,0,0.0036,0,0.5395,0.0056,0.0448,1.2294
strong-heuristic,13,0.1471,0,0,0,0,0,3.507,4,0.3,6,0.2773,0,0,1,1.0154,2.2143,0.902,0.8683,3.784,0,1.2703,0,0.0053,0,0.5471,0.119,0.0294,0.1402
strong-heuristic,14,0.1036,0,0,0,0,0,3.1289,4,0,5.7,0.2521,0,0,1,0.9762,1.9006,1.0882,1.035,3.3603,0,0.9832,0,0.0069,0,0.5559,0.2283,-0.0434,0.0189
strong-heuristic,15,0.1303,0,0,0,0,0,2.8039,3,0,5,0.2297,0,0,1,0.9244,1.6499,1.2759,1.1499,2.785,0,1.0154,0,0.0063,0,0.5601,0.3179,0.0266,-0.4145
strong-heuristic,16,0.1036,0,0,0,0,0,2.535,3,0,5,0.2171,0,0,1,0.8179,1.5,1.4426,1.2395,2.3655,0,0.881,0,0.0066,0,0.5651,0.3796,-0.0266,-0.3134
strong-heuristic,17,0.0938,0,0,0,0,0,2.3137,2,0,5,0.2115,0,0,1,0.7157,1.3866,1.5812,1.3165,2.3232,0,0.7129,0,0.0071,0,0.5681,0.4244,-0.0098,-0.0695
strong-heuristic,18,0.0924,0,0,0,0,0,3.07,2,1,6,0.2059,0,0,1,1.1106,1.7535,1.7507,1.3852,3.541,0,1.0546,0,0.009,0,0.5789,0.0364,-0.0014,0.8241
strong-heuristic,19,0.0994,0,0,0,0,0,2.6709,2,0,6,0.2031,0,0,1,0.8992,1.5686,2.0434,1.4888,2.5415,0,0.923,0,0.0076,0,0.5849,0.2353,0.007,-0.312
strong-heuristic,20,0.105,0,0,0,0,0,2.1695,1,0,6,0.105,0,0,0,0.8011,1.2633,2.1849,1.7507,1.6849,0,0.8011,0,0.0063,0,0.5874,0.4748,0.0056,-1.3076
strong-heuristic,21,0.0504,0,0,0,0,0,1.9006,0,0,6,0.0882,0,0,0,0.6919,1.1204,2.3417,1.8459,1.8092,0,0.5168,0,0.0039,0,0.6217,0.5546,-0.0546,-0.0747
strong-heuristic,22,0.0518,0,0,0,0,0,1.6975,0,0,5,0.0994,0,0,0,0.6429,0.9552,2.4888,1.9132,1.9466,0,0.4832,0,0.0025,0,0.6373,0.6008,0.0014,-0.1241
strong-heuristic,23,0.0532,0,0,0,0,0,1.549,0,0,5,0.1373,0,0,1,0.6106,0.8011,2.6022,1.986,1.6361,0,0.5042,0,0.0022,0,0.6424,0.6457,0.0014,-0.1239
strong-heuristic,24,0.0112,0,0,0,0,0,1.3151,0,0,5,0.1092,0,0,0,0.5602,0.6457,2.7731,2.021,2.1466,0,0.0588,0,0.0028,0,0.6655,0.6793,-0.042,1.0138
strong-heuristic,25,0.028,0,0,0,0,0,1.1653,0,0,5,0.1232,0,0,1,0.5266,0.5154,2.9062,2.0518,0.9264,0,0.2171,0,0.0022,0,0.6737,0.7101,0.0168,-1.3451
strong-heuristic,26,0.0252,0,0,0,0,0,1.0546,0,0,4,0.1443,0,0,1,0.4552,0.4552,3.0196,2.07,1.4359,0,0.3039,0,0.0031,0,0.6786,0.7381,-0.0028,-0.0014
strong-heuristic,27,0.0266,0,0,0,0,0,0.9636,0,0,4,0.1639,0,0,1,0.3964,0.4034,3.1176,2.0826,0.9453,0,0.2591,0,0.0043,0,0.681,0.7675,0.0014,-0.2572
strong-heuristic,28,0.042,0,0,0,0,0,0.8852,0,0,4,0.1863,0,0,1,0.3459,0.3529,3.1961,2.105,0.9937,0,0.2969,0,0.0096,0,0.6817,0.7885,0.0154,-0.0959
strong-heuristic,29,0.0476,0,0,0,0,0,0.7395,0,0,4,0.0714,0,0,0,0.388,0.2801,3.2241,2.1078,0.7087,0,0.2927,0,0.0133,0,0.6829,0.7941,0.0056,-2.3856
strong-heuristic,30,0.0476,0,0,0,0,0,0.7395,0,0,4,0.0714,0,0,0,0.388,0.2801,3.2241,2.1078,0,0,0,0,0,0,0.6829,0.7941,0,0
survival-greedy,1,10.0587,9,9,9,11,14,3,3,3,3,0,0,0,0,2.6601,0.3399,0,0,0,0,3,3,0,0,0.0291,0,-1.9413,-10.2161
survival-greedy,2,6.7063,6,5,5,8,10,3,3,3,3,0,0,0,0,2.5021,0.4979,0,0,1.3908,0,3,3,0,0,0.0537,0,-3.3524,-10.7554
survival-greedy,3,3.6,3,1,2,4.5,7,3.0014,3,3,3,0.0014,0,0,0,2.3329,0.6671,0,0,6.0671,0,3.0014,3,0,0,0.1014,0,-3.1063,-2.5226
survival-greedy,4,2.1958,2,0,0,3,5,3.0615,3,3,3,0.0615,0,0,0,2.2126,0.7874,0,0,4.7594,4.2,2.9455,3,0,0,0.1717,0,-1.4042,-1.7043
survival-greedy,5,1.186,0,0,0,2,4,3.5091,4,3,4,0.5091,1,0,1,1.814,1.186,0,0,5.9393,5.4,2.9273,3,0.0003,0,0.2481,0,-1.0098,-0.2418
survival-greedy,6,0.6993,0,0,0,1,2,4.7818,5,4,5,0.7972,1,0,1,2.9315,1.0531,0.0154,0,5.2794,5.4,3.5608,4,0.0008,0,0.2871,0,-0.4867,-1.1827
survival-greedy,7,0.3035,0,0,0,0,1,4.786,5,4,5,0.835,1,0,1,2.9287,1.0224,0.049,0,4.6042,4.2,3.1986,4,0.0023,0,0.2959,0,-0.3958,-1.1201
survival-greedy,8,0.2378,0,0,0,0,1,4.7608,5,4,5,0.835,1,0,1,2.9636,0.9622,0.0741,0,4.7116,4.2,3.0545,3,0.005,0,0.2986,0,-0.0657,-0.6387
survival-greedy,9,0.2392,0,0,0,0,1,4.6587,5,4,5,0.7692,1,0,1,2.9329,0.9566,0.1091,0.0014,4.6162,4.2,2.9902,3,0.0082,0,0.2993,0,0.0014,-0.2473
survival-greedy,10,0.3077,0,0,0,0,1,4.2811,4,4,5,0.421,0,0,1,2.8406,1.0196,0.1385,0.0014,4.9978,5.2,3.0615,4,0.0094,0,0.3007,0,0.0685,-0.9423
survival-greedy,11,0.3622,0,0,0,0,2,4.2308,4,3,5,0.3958,0,0,1,2.7986,1.0364,0.1636,0.0014,5.1737,5.2,2.8629,3,0.007,0,0.3029,0,0.0545,-0.6209
survival-greedy,12,0.221,0,0,0,0,1,5.1958,5,4,6,0.393,0,0,1,3.1245,1.6783,0.193,0.0042,4.6562,4.2,3.1664,3,0.0067,0,0.3038,0,-0.1413,-0.6719
survival-greedy,13,0.1748,0,0,0,0,1,5.1385,5,4,6,0.3818,0,0,1,2.9385,1.8182,0.228,0.0154,4.5382,4.2,3.0448,3,0.0074,0,0.3042,0,-0.0462,-0.9767
survival-greedy,14,0.0462,0,0,0,0,0,5.1133,5,4,6,0.3958,0,0,1,2.8615,1.8559,0.2573,0.0252,3.8294,3.2,2.4112,2,0.0097,0,0.3049,0,-0.1287,-1.2548
survival-greedy,15,0.0378,0,0,0,0,0,5.0685,5,4,6,0.3986,0,0,1,2.7846,1.8853,0.2909,0.0392,3.631,3.2,2.2601,2,0.0122,0,0.3056,0.0014,-0.0084,-1.196
survival-greedy,16,0.0517,0,0,0,0,0,5.049,5,4,6,0.4154,0,0,1,2.8154,1.8182,0.3217,0.0448,4.0372,3.2,2.3552,2,0.0148,0,0.3063,0.0028,0.014,-0.6538
survival-greedy,17,0.0336,0,0,0,0,0,5.007,5,4,6,0.4182,0,0,1,2.765,1.8238,0.3608,0.0503,3.9673,3.2,2.2503,2,0.0163,0,0.3066,0.0042,-0.0182,-0.5089
survival-greedy,18,0.0308,0,0,0,0,0,5.9552,6,5,7,0.4056,0,0,1,3.7119,1.8378,0.3944,0.0559,3.8906,3.2,2.3483,2,0.0195,0,0.3067,0,-0.0028,-0.5907
survival-greedy,19,0.0224,0,0,0,0,0,5.8839,6,5,7,0.3902,0,0,1,3.6084,1.8853,0.4476,0.0587,3.7703,3.2,2.2713,2,0.0206,0,0.3069,0.0014,-0.0084,-0.8663
survival-greedy,20,0.0126,0,0,0,0,0,5.5986,6,4,7,0.2098,0,0,1,3.4434,1.9455,0.4881,0.1231,4.0579,3.2,2.2671,2,0.0223,0,0.3071,0.0042,-0.0098,-0.8815
survival-greedy,21,0.0196,0,0,0,0,0,5.5035,6,4,7,0.2112,0,0,1,3.1357,2.1566,0.5664,0.1413,4.111,4,2.3133,2,0.011,0,0.3088,0.0084,0.007,-1.8314
survival-greedy,22,0.0154,0,0,0,0,0,5.4084,6,4,7,0.2028,0,0,1,3.0531,2.1524,0.6434,0.151,4.6582,3.2,2.1455,2,0.0107,0,0.3095,0.0084,-0.0042,-0.1785
survival-greedy,23,0.0238,0,0,0,0,0,5.3175,6,4,6,0.2,0,0,1,3.028,2.0895,0.7133,0.1692,4.6434,3.2,2.0797,2,0.0104,0,0.3109,0.0126,0.0084,0.4963
survival-greedy,24,0.0322,0,0,0,0,0,5.2252,6,4,7,0.207,0,0,1,2.9357,2.0825,0.8014,0.1804,4.5869,3.2,2.0531,2,0.0098,0,0.3133,0.021,0.0084,0.4153
survival-greedy,25,0.0294,0,0,0,0,0,5.1035,5,3,6,0.2,0,0,1,2.8545,2.049,0.8993,0.1972,4.0347,3.2,2.0979,2,0.007,0,0.3164,0.028,-0.0028,-0.37
survival-greedy,26,0.0531,0,0,0,0,0,4.9678,5,3,6,0.1972,0,0,1,2.7091,2.0615,1.0238,0.2056,4.3306,3.2,2.1259,2,0.007,0,0.3203,0.0322,0.0238,-0.1696
survival-greedy,27,0.0657,0,0,0,0,0,4.8476,5,2,6,0.2042,0,0,1,2.6517,1.9916,1.1385,0.2182,4.0775,3.2,1.9678,2,0.0091,0,0.3245,0.042,0.0126,-0.0032
survival-greedy,28,0.0517,0,0,0,0,0,4.6853,5,2,6,0.2154,0,0,1,2.5329,1.9371,1.2993,0.2308,4.0436,3.2,1.9441,2,0.0078,0,0.3298,0.0573,-0.014,-0.1915
survival-greedy,29,0.0937,0,0,0,0,0,4.5413,5,1,6,0.1273,0,0,1,2.628,1.786,1.3329,0.2531,4.111,3.2,1.8056,1,0.0101,0,0.3355,0.0643,0.042,1.1646
survival-greedy,30,0.0937,0,0,0,0,0,4.5413,5,1,6,0.1273,0,0,1,2.628,1.786,1.3329,0.2531,0,0,0,0,0,0,0.3355,0.0643,0,0
